時間,使用者,類型,描述,IP位址,結果,風險等級
"2025-08-29 00:31:44",系統管理員,user_logout,使用者登出系統,172.19.0.1,success,低
"2025-08-29 00:31:50",系統管理員,user_login,使用者登入系統,172.19.0.1,success,低
"2025-08-29 00:32:49",系統,view_activity_logs,"執行操作: view_activity_logs",172.19.0.1,success,低
"2025-08-29 00:32:51",系統,forbidden_access,"HTTP 錯誤：403 - GET admin/activities/security",172.19.0.1,warning,低
"2025-08-29 00:32:55",系統,view_activity_stats,"執行操作: view_activity_stats",172.19.0.1,success,低
"2025-08-29 00:32:57",系統,view_activity_monitor,"執行操作: view_activity_monitor",172.19.0.1,success,低
"2025-08-29 00:32:59",系統,view_activity_export,"執行操作: view_activity_export",172.19.0.1,success,低
"2025-08-29 00:33:00",系統,forbidden_access,"HTTP 錯誤：403 - GET admin/settings",172.19.0.1,warning,低
"2025-08-29 00:33:03",系統,forbidden_access,"HTTP 錯誤：403 - GET admin/settings/security",172.19.0.1,warning,低
"2025-08-29 00:33:03",系統,forbidden_access,"HTTP 錯誤：403 - GET admin/settings/appearance",172.19.0.1,warning,低
"2025-08-29 00:33:04",系統,forbidden_access,"HTTP 錯誤：403 - GET admin/settings/integration",172.19.0.1,warning,低
