"ID","時間","類型","描述","模組","IP位址","結果","風險等級","使用者ID","使用者名稱","使用者信箱","詳細資料"
"48","2025-08-26 10:48:03","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"49","2025-08-26 10:48:03","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"50","2025-08-26 10:48:03","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"51","2025-08-26 10:48:03","user_updated","更新使用者：系統管理員","users","172.19.0.1","成功","低","","系統","","{""changes"":{""locale"":""zh_TW"",""updated_at"":""2025-08-26 10:48:03""},""username"":""admin"",""fields_changed"":[""locale"",""updated_at""]}"
"52","2025-08-26 10:48:03","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"46","2025-08-26 10:47:13","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"47","2025-08-26 10:47:13","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"44","2025-08-26 10:47:01","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"45","2025-08-26 10:47:01","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"43","2025-08-26 10:46:51","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"42","2025-08-26 10:46:50","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"40","2025-08-26 10:46:46","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"41","2025-08-26 10:46:46","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"38","2025-08-26 10:46:10","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"39","2025-08-26 10:46:10","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"37","2025-08-26 10:46:07","job_failed","系統事件: job_failed","system","127.0.0.1","成功","極低","","系統","",""
"32","2025-08-26 10:46:03","user_login","使用者登入系統","auth","172.19.0.1","成功","低","2","系統管理員","admin@example.com","{""success"":true,""session_id"":""FuyO************************************"",""remember_me"":false,""login_method"":""username_password""}"
"33","2025-08-26 10:46:03","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"34","2025-08-26 10:46:03","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"35","2025-08-26 10:46:03","user_updated","更新使用者：系統管理員","users","172.19.0.1","成功","低","","系統","","{""changes"":{""locale"":""en"",""updated_at"":""2025-08-26 10:46:03""},""username"":""admin"",""fields_changed"":[""locale"",""updated_at""]}"
"36","2025-08-26 10:46:03","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"31","2025-08-26 10:46:02","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"29","2025-08-26 10:45:58","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"30","2025-08-26 10:45:58","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"21","2025-08-26 10:45:38","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"22","2025-08-26 10:45:38","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"23","2025-08-26 10:45:38","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"24","2025-08-26 10:45:38","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"25","2025-08-26 10:45:38","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"26","2025-08-26 10:45:38","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"27","2025-08-26 10:45:38","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"28","2025-08-26 10:45:38","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"19","2025-08-26 10:42:27","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"20","2025-08-26 10:42:27","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"17","2025-08-26 10:42:24","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"18","2025-08-26 10:42:24","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"15","2025-08-26 10:42:23","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"16","2025-08-26 10:42:23","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"13","2025-08-26 10:42:15","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"14","2025-08-26 10:42:15","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"11","2025-08-26 10:42:13","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"12","2025-08-26 10:42:13","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"7","2025-08-26 10:41:38","user_updated","更新使用者：測試使用者","users","172.19.0.1","成功","低","","系統","","{""changes"":{""locale"":""en"",""updated_at"":""2025-08-26 10:41:38""},""username"":""testuser"",""fields_changed"":[""locale"",""updated_at""]}"
"8","2025-08-26 10:41:38","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"9","2025-08-26 10:41:38","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"10","2025-08-26 10:41:38","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"6","2025-08-26 10:41:37","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"5","2025-08-26 10:40:56","slow_query","系統事件: slow_query","system","127.0.0.1","成功","極低","","系統","",""
"4","2025-08-26 10:40:53","slow_query","系統事件: slow_query","system","127.0.0.1","成功","極低","","系統","",""
"3","2025-08-26 10:40:48","slow_query","系統事件: slow_query","system","127.0.0.1","成功","極低","","系統","",""
"2","2025-08-26 10:40:44","slow_query","系統事件: slow_query","system","127.0.0.1","成功","極低","","系統","",""
"1","2025-08-26 10:40:42","slow_query","系統事件: slow_query","system","127.0.0.1","成功","極低","","系統","",""
